filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version,npot_resized,dxt5
00014362,d65a43b2a1c768aa53376dbd4e192595ddab6084,b165442326189ac8a926ba7b7ce409bcba287389,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00014366,aca27358fe38c1999c21fecc52370ed792007d25,667e5957b992ae572b850c98bb83d6f9403ee813,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0001436a,36b0e4534aae1b083d4212763351804e41e7c967,09b8fbe43df708b22e10e6b94ac76a5648afca77,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00014fef,859d8118d33995441616e5d456c6473ce4560518,6c0ee3ac0bb0a7fb633cd8c4ab5ba3dc96838ecb,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
000237d1,060dc95f4905106f57d0b0404cdb53ceb63bec16,f4bea8a80237c2878f98a8d19f2dc9123b2d0af8,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0002a890,9bfd69b7ea89a6d2a975a912a70f1b90e091d800,c3795b7aa81538cfaf00b45fb405d3d687e73d9f,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0002b182,515c98f42e02dad26624aa5108fffb8ef57c4012,e8d1f6d8241fab9d77e4d9a53076ac0c29e2be1e,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0002bdfa,d418c6fcbf2269a6f37971d3bc108d021c402f70,e1ac3972bbb728b9f90c54ffc6efb0b65247e7f7,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0002c24e,940cd139971bf60076143727b5868f858a0a0937,56df77c6d9bacc89f14f5831daabd3bc72033d1f,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000304be,06386ae9df8ac8cd214f3583e52777db1c968c0b,197a55d5eec51c241432c0e2319f8240ce5f4bea,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00030da5,3252edde69887052e1bdea36f165468604acbd6e,06057120eaab7918f45dc14a3a5f1c56560ff0c7,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
00031504,19292f38fa609f948b07c0f65a3e08d75b49baca,794f33620ff0a58e62a0504079536fe75c8bdeb5,true,ps2 textures\HAS ALPHA\manual\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0003247e,8a125aea54ecd22e64463f20d3470c5d0a329e25,ad9895a5074c07dde92cda66b2bfe6d67db29e6c,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0003436f,ad1b6ce1555d46748da74bb913d1432700237b75,70e13a7abe1f88cb23cf3ad08a9fd5cc5dfc7fab,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
00035553,5c76ffc90fd3079b1c1620c408e0a1676f281823,6de28234c77ca58b2380b07563bc45ccc0d24217,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00035be9,673f2e929489ef83606b8e684298a9c423fedbe8,e1401f696b23a60973b68bca7dd5ee69689a7e96,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0003966e,95acd0ece446281afeb0071f8d85e170aa849957,bf6a8709fc6abfba026e70f576d6a37c881b34f0,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
0003f2e2,be03d435bffc57b64ce93d429f81bf48b07eeb31,e62c05d622a4180de9833d45e0e6469215888835,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00040da5,2efc059c6e640674f83591eefb3de03288fb45b3,3dab314bee1bbe71ea6a173c7b80b01e35d48118,true,ps2 textures\OPAQUE\manual\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
00048d5b,8eb0aac15cd40a356a272bc16ba385204d7e7809,8692ccae9eb548c2596e59ffc88b456bea609326,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0004e32e,35dbb04484870b109ad86875a64b161884ed7269,14e9e521bc905aa1f8a0aa2ea0302b206c153165,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
00050da5,3ad63949d26fcab40d77be90f73d75b2b32060ed,c1efdd4b6617d6bd2cba3d5595438b3da7fd0d15,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
00054383,b3f4cf0ffba4db2f67f9495098710e7392d044cc,46e9a2183f64b68ad56d064aa670bf4c527c70d2,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
