filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version,npot_resized
0000021b,34a53c4720639e87104f0f9067089263f26dc227,60b74c3ed2e23fcf755de05666cc10fa60974416,true,ps2 textures\HAS ALPHA\manual\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
0000368b,edec988228af3d62dc114baaf0f77d01dc2bbb98,705e12703dcdf2262a8b7e5da3c89c31620cbbff,true,ps2 textures\OPAQUE\same sha1\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false
00005011.img,6ad52cd7fc6cff93f671a71135a3a1d8d057d7a0,a1f7f5047d33913498da883763b6607da53ef9d5,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
00005e41,2eee66b577b4d634eed42af1e4e977ffbdc65edd,5dbd82c1ddb35d8c17bcf87d470643bcf53dbdd8,true,ps2 textures\OPAQUE\same sha1\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false
0000719c,4016f4a544dd93f0c79a19f36302dc8378a63c73,9bf36611af04fb5cca4bf2f34e4f6e7fb44df231,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
00007c5c,5831a4669cbe09d88726006a22b5239af0c26b1e,56b167c67f59b8163850c9ce1a6ae455355cdd1c,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
0000bdd3,e9bc1c58a1327efbdb23817ddf7f9097d8b36224,eeda6deaf8920c8412cf5b3575cc059f71fd52cf,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
0000c6fa,15fc0db3e429d85bf0485f25b1b289c7fb937ed6,3ec79fb769033f4ad69afefa1b924a9235055f17,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
00011816,997ec73eee9c3526581f98fef4ad8ff13177f661,d40e26992970041ff95e8466a5930674048b49f5,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
0001435e,b50d08616eb0ff3a089d47a59037cf8a7d78348d,f8f7e245ce1aaefd2e727a5508e8182937a1ac3f,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
00014362,d65a43b2a1c768aa53376dbd4e192595ddab6084,32b8ce93a7d033b07ef708bca7b490603b0d7eaf,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
00014366,aca27358fe38c1999c21fecc52370ed792007d25,ae479acfa6e6c8277fab0edca6e864a139477b8b,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
0001436a,36b0e4534aae1b083d4212763351804e41e7c967,e456d462f2ca9b1f34dfb9240f033f6c8783686a,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
00014fef,859d8118d33995441616e5d456c6473ce4560518,fe8df1c8ca001b33dac28ec8651ba81483a4bc0c,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false
000237d1,060dc95f4905106f57d0b0404cdb53ceb63bec16,d9e4d72004f1296386050da54dbc282d6568a02d,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
0002a890,9bfd69b7ea89a6d2a975a912a70f1b90e091d800,85be0d3e34aefe692357a927f079038b1ace7d59,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
0002b182,515c98f42e02dad26624aa5108fffb8ef57c4012,e605cbd5067bb660624436c64a1d281365ec1d69,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
0002bdfa,d418c6fcbf2269a6f37971d3bc108d021c402f70,f3c8f253bd49cfdc532e75b7363b0320da84417d,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
0002c24e,940cd139971bf60076143727b5868f858a0a0937,fccde669fd504876007479058390656bc4482177,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
000304be,06386ae9df8ac8cd214f3583e52777db1c968c0b,4a47e7b239b244a0a7f2f28f3d3e50bb9a158790,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
00030da5,3252edde69887052e1bdea36f165468604acbd6e,d9e485e00de4f8e3bfef0c33f703c6b37d1ccb3f,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false
00031504,19292f38fa609f948b07c0f65a3e08d75b49baca,cffd4a954039aa7872943ea9e199589542f32174,true,ps2 textures\HAS ALPHA\manual\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
0003247e,8a125aea54ecd22e64463f20d3470c5d0a329e25,a4ad2592a9d554e4caf7f3e0df80153b6d4f6899,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
0003436f,ad1b6ce1555d46748da74bb913d1432700237b75,3f64674d4425301ff80f22ddd5282e6d02e20273,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false
00035553,5c76ffc90fd3079b1c1620c408e0a1676f281823,5abdc677a579a4eb058f094cd3425ef9488816fd,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
00035be9,673f2e929489ef83606b8e684298a9c423fedbe8,47b596f438181f995103d96c3bb730780bac1116,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
0003966e,95acd0ece446281afeb0071f8d85e170aa849957,9241a88c8089e53972202c65c46a86cba19fdc0d,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false
0003f2e2,be03d435bffc57b64ce93d429f81bf48b07eeb31,2504c08e36243b7fbf497362b6a89f193295a512,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
00040da5,2efc059c6e640674f83591eefb3de03288fb45b3,f705540da0bc69c44ede7d1b6a405ea14dd1ef0a,true,ps2 textures\OPAQUE\manual\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false
00048d5b,8eb0aac15cd40a356a272bc16ba385204d7e7809,f77e548ab0bb1558bff3871633f24709ab0ef54a,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
0004e32e,35dbb04484870b109ad86875a64b161884ed7269,243b965032ad2036be5f571b968a3a747e1a163e,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false
00050da5,3ad63949d26fcab40d77be90f73d75b2b32060ed,999adfdf726f9bda6664a68b2357d9676d955c6d,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false
00054383,b3f4cf0ffba4db2f67f9495098710e7392d044cc,90f22f5f53a4e2cb04fc528be77344fa13563795,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false
00057eda,c9758938dfa1309446faa6de62f96a1719e127c3,84137a4e7e24a42f29aabe4c72b6e255b48465ba,true,ps2 textures\HAS ALPHA\same sha1\no_mip_fixes\ui,false,true,5,remarci_4x_extra_smooth,false,0,false
000589dd.img,2db957073a631ca19adc409d9ea68dba8c0db6f1,4bed730011d8fea479f0559e94d5dfce0b92234e,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false
0005cada,f7d34794449943a1efa434e3d04b64c3691f5ce3,b49e2f1cf037c98371c474c61cef4770a60deeeb,true,ps2 textures\OPAQUE\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false
