filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,non_upscaled_version,ctxr3_converted,npot_resized
002a4e9e,d373b2dad3fe57da67385d9b729eaa798ac30b0d,4001b813a553249a97d3f1b0e7af437b6d0e941a,false,Self Remade\Finalized\Dont demaster\UI\ctrltype_kbd\_win\4k,false,false,0,none,5,true,false
00425555,dd18ed321619314e649cab316b6483ba41d37109,631de545bce6e22dcf3cf8198255fe95dea0fd21,false,Self Remade\Finalized\Dont demaster\UI\ctrltype_kbd\_win\4k,false,false,0,none,5,true,false
